날짜,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈,S&P 500 ETF,QQQ ETF
2025-10-16,39777000,15559600,42414600,27997200,18946000,9017000,77189900,179723300,2721400,28326000,19258500,83357800,13950600,21743966,8532900,1715000,3294299,11552100,7346400,42041300,20317200,4570900,7188200,69726400,7742800,110563300,70982000
2025-10-17,49147000,19867800,45986900,29671600,17653800,12232400,89331600,173135200,2502200,29571000,11151500,119394700,16286900,22066520,6710100,1959400,4109677,8527600,5991800,23283100,20937900,4035000,5082600,55804200,5272800,96500900,72024900
2025-10-20,90483000,14665600,38882800,22350200,13726800,8900200,63719000,128544700,1523700,39862000,10016100,80230200,12183500,18012454,4810600,1613400,4147661,7679700,4069100,23268400,15640200,3903200,6620200,56741700,5494800,60493400,45761700
2025-10-21,46695900,15586200,50494600,47312100,27836400,7647300,54412200,124240200,1448200,65082000,9032000,73134900,15763300,32098561,5614300,1533400,4031800,8262500,9149800,13717300,16092600,4389700,10301500,47122400,4557500,56249000,44538200
2025-10-22,45015300,18962700,44308500,35029400,19650200,8734500,84023500,162249600,2372400,147890000,8173400,87099900,14967200,23490859,6486000,1698500,4532910,5286300,7148600,21949800,19268800,3436000,25834500,59668800,7498100,80564000,61478800
2025-10-23,32754900,14023500,31540000,19901400,13241300,9856000,126709800,111363700,1974800,68497000,8199000,121974200,14614100,22618373,6091800,1496800,10045972,4565500,5212500,19397900,12859200,2408100,8412500,39024400,7001900,65604500,42844300
2025-10-24,38253700,15532400,38685100,28655100,18406000,9151300,94727800,131296700,1639400,60280000,8638200,246380000,13075600,19207601,3580200,1376300,8531289,5844600,5401300,25821800,16143700,2016900,7691800,71221100,5346700,74356500,47632500
2025-10-27,44888200,18734700,38267000,35235200,22987700,11321100,105867500,153452700,1967600,46911000,18821300,160007600,15986800,25722596,4744600,1794300,5723140,7164600,7063700,23873100,20065800,2828200,8606300,65613100,7671700,63339800,54098600
2025-10-28,41534800,29986700,47100000,29738600,20101200,12193800,80185700,297986200,2090800,40209000,83722300,181256400,19896800,28876008,5626500,2217200,4500232,11545600,15035000,14957500,21056000,3005600,9646600,47448700,6118500,61738100,61195700
2025-10-29,51086700,36023000,52036200,43580300,26287900,26818600,67983500,308829600,2449600,33995000,38505400,106962900,18020600,45729166,7767600,2824300,4441983,13881700,20841600,23217300,24975200,6746500,11961900,49335600,7784500,85657100,67422800
2025-10-30,69886500,41023100,102252900,74876000,48570000,88440100,72447900,178864400,2677100,41581000,19550800,84855500,18101800,68328653,5752700,2058200,6511200,18337500,12884300,14795100,24295300,4373200,9477600,45162500,7317700,76335800,61628600
2025-10-31,86167100,34006400,166340800,39267900,29932800,56953200,83135800,179802200,2456300,68665000,18370100,80471400,24008000,52397489,6313600,2687100,4067800,13598000,13262800,16320000,21598400,3763400,8707900,34449200,6532600,87164100,66305100
2025-11-03,50194600,22374700,95997800,29786000,19691800,33003600,84595200,180267300,3206600,58634000,14619000,61267500,21733400,42307297,8331500,2753300,4963400,9525100,8849900,21199300,17198900,3916600,5208300,36351400,6160600,57315000,37154300
2025-11-04,49274800,20958700,51546300,30078400,18123700,27356600,87756600,188919300,2554500,38718000,19711800,102250300,22345000,48614334,8302900,3412500,5727000,17774600,12649100,23696200,24047500,3694300,11462300,56491800,6896400,78427000,63830800
2025-11-05,43683100,23024300,40610700,31010300,20063200,20219900,85573000,171350300,2974800,35539000,13606100,74631600,16113500,42945896,7136400,5486200,4206400,17996200,12718900,28617400,17087600,2646700,9770200,67366600,7230800,74402400,48688500
2025-11-06,51204000,27406500,46004200,37173600,23103800,23628800,109622900,223029800,3247700,36532000,11480200,77629900,16469900,35022568,6449400,3330300,3031300,10382800,8879700,32016800,19896900,3888700,5859500,66049700,9278400,85035300,72115100
2025-11-07,48227400,24019800,46374300,34479600,21991100,29946800,103471500,264942300,2584000,44125000,13449300,95521400,16913700,38966093,7592300,2665200,3706900,15009900,8717300,30613800,21903200,4112600,8837700,52162600,6892800,100592400,81835400
2025-11-10,41312400,26101500,36476500,29557300,19508200,19245000,76515900,198897100,2612700,36929000,11129900,77820300,22201200,59186383,6617500,2518600,3820700,10507600,9205200,27870600,16409000,3087000,7677900,43361600,7673700,75842900,55919900
2025-11-11,46208300,17980000,23564100,19842100,14156700,13302200,60533200,176483300,1663400,27966000,10032500,53741900,21412900,56995939,7683600,3136500,4196500,9575800,10048300,22622500,16446800,2827200,7274200,61336800,6237600,58953400,44868800
2025-11-12,48398000,26574900,31190100,24829900,16998800,24493300,58513500,154935300,1829700,39221000,10134000,53876000,57591600,33011806,5790100,2941000,4606900,11975800,7818800,17263100,12190500,2990200,6241200,108942000,5955400,62312500,47444400
2025-11-13,49602800,25273100,41401700,29494000,18060200,20973800,118948000,207423100,2430600,40144000,14185800,95593200,57638500,34101960,6663300,3413500,4162200,10507700,8720100,32324600,22616600,3084600,7719600,63178600,13465900,103457800,71333600
2025-11-14,47431300,28505700,38956700,31647200,18330500,20724100,105506700,186591900,1739100,47607000,21979900,71716200,38819600,40374320,5770500,3310300,3725400,13434600,6854200,36171100,18500800,2761400,6041500,47655600,15254400,96846700,80087300
2025-11-17,45018300,19092800,59919000,52670200,34286100,16501300,102214300,173628900,2481900,26082700,20632700,72580100,28720100,28365982,7320200,2996600,2837500,8547200,6549200,30304400,14799600,3300000,7343400,37942200,8713600,90456100,63850400
2025-11-18,45677300,33815100,60608400,49158700,29702200,25500600,80688600,213598900,2984700,43440600,18446600,61504800,26025500,31200787,10821500,2966600,6072500,7189400,9659700,33843900,21726800,3286400,8164700,45619900,12167400,114467500,83327300
2025-11-19,40424500,23245300,58335600,68198900,43123600,24744700,72047700,247246400,3462300,31868100,25061900,67115500,24759700,29309743,8123200,2129800,3394100,6195100,10779200,35256600,21851900,3738400,5568500,52093400,8870500,94703000,73111500
2025-11-20,45823600,26802500,50309000,62025200,34801400,20603000,113548800,343504800,2648300,36918500,21059300,96389100,27381900,26345084,6878900,3183700,3673200,8966300,9746800,47420700,28867000,3884800,7890900,66342900,9264000,165293500,117743200
2025-11-21,59030800,31769200,68490500,74137700,43670600,21052600,100460600,346926200,2870100,41232700,20849400,105641700,24428800,33688178,7911800,4128600,4711500,10227700,11209100,36679700,30280300,4825400,11711300,67421100,8596800,123956200,103344200
2025-11-24,65585800,34421000,54318400,85165100,55311800,23554900,96806400,256618300,3661200,62918300,21013500,103804200,26691500,55123888,9391400,3551600,5304200,10805800,10860000,33052800,47262400,5414400,9466500,46749600,8806600,80437900,60168100
2025-11-25,46914200,28019800,39379300,88632100,50899300,25213000,71915600,320600300,2534700,35122600,11065200,62203300,18818800,32485455,8954000,2868600,3663400,9265300,9100900,17441600,33507600,3765000,7406700,69773500,8330300,81077100,57560900
2025-11-26,33431400,25709100,38497900,51373400,29839600,15209500,63463000,183852000,1936200,27951000,8335300,54563400,15972600,25848609,5180600,2333100,3120900,7602600,6893300,17817600,28693000,3025000,7346300,43270200,8791100,71879600,42393600
2025-11-28,20135600,14386700,20292300,26018600,19695800,11033200,36252900,121332800,1092600,15021600,7875900,95799500,7320900,14547478,2969300,1268800,1644100,3677600,3645200,12914700,13365500,1802200,4018100,18658000,2916300,49212000,23034400
2025-12-01,46587700,23964000,42904000,41183000,28520600,13029900,57463600,188131000,2149400,24873400,10923300,74534900,15529600,30211892,7623300,2383800,3220200,8752100,12849800,18238200,23252000,3651300,6170800,30768700,6842400,61201200,40957600
2025-12-02,53669500,19562700,45785400,35854700,24668200,11640900,69336600,182632200,2160600,25763000,10834100,167205800,14619100,48848754,6830300,2446500,4477200,9001900,8644000,18166200,22207000,3959500,9438900,42002500,9196800,62953800,54541800
2025-12-03,43538700,34615100,35495100,41838300,32285100,11134300,87483000,165138000,1886800,53593400,24402800,91957200,16088400,29501163,5109200,2839100,4181000,9303900,10060400,19188200,21336400,3082200,9259300,28545200,7999600,57238500,47841600
2025-12-04,43989100,22318200,45683200,31240900,20831600,29874600,71906500,167364900,3787800,51779100,15994300,107850200,12572600,43540215,6803000,3695700,4006200,10555100,9805500,23513900,15845900,3592300,6724100,24478200,6348800,61970300,47067800
2025-12-05,47265800,22608700,33117400,28851700,15719900,21207900,56427500,143971100,2359800,133363600,11152900,103042000,12579400,50881282,5971300,2897700,4294300,9402900,10435600,21161000,24779900,7650400,6584600,33292400,5373400,79241000,53614200
2025-12-08,38211800,21965900,35019200,33909400,22006900,13161000,69165800,204378100,2407900,100906300,12544000,93953600,17454500,42823191,6327400,3510700,3239800,10277600,9884300,20495400,30410600,4293600,6427600,30943200,5338100,55231500,43462400
2025-12-09,32193300,14696100,25841700,30194000,14151300,12997100,62367400,144719700,1899500,51745600,13214700,61877200,15737500,29309316,10035200,2924900,2772000,10322900,10114000,17067100,24546000,4267700,3760400,25166100,4062600,58310100,37156000
2025-12-10,33038300,35756200,38790700,33428900,22764500,16910900,63257500,162785400,3318300,74129300,19985100,75974900,21302700,39408045,18526400,3071500,5567800,10539600,17184600,21960700,31531000,6789900,5268900,23279400,6244600,85671300,55031400
2025-12-11,33248000,24669200,28249600,42353700,25912100,13056700,55979500,182136600,3041600,43949000,14023800,59096800,18652300,49189234,7854000,2454800,3733700,6894000,16302500,18867000,45681600,10158700,4838000,30694600,7061200,86173700,58272800
2025-12-12,39532900,21248100,35639100,35940200,21264800,14016900,95656700,204274900,4808900,49323100,15964000,87784500,16672300,30849211,8143100,2247200,3324500,9071500,9288900,25936900,95588500,5483900,5980500,37073900,6739300,113160300,75158700
2025-12-15,50409100,23727700,47286100,29151900,22028900,15549100,114542200,164775600,4771400,40016500,18187500,60898500,17646000,42691310,8409600,4049500,3463300,11718600,17381400,27483600,65894900,5480100,9037500,27222200,6406000,90811000,49538200
2025-12-16,37648600,20705600,39298900,30585000,21285200,14309100,107608100,148588100,3843300,34265000,17316800,50490300,17737200,98031159,7520300,2642500,4734400,7481400,12565000,22577300,58061100,4118200,5746900,23467600,5859700,122030600,55152800
2025-12-17,50138700,24527200,44034400,43930400,29120400,15598500,106490400,222775500,2363700,50472800,16357800,54792000,26094400,76466448,8067100,2517300,6291100,7947000,17839300,41957100,73300900,4371600,8865600,31595400,7855400,110625200,70654300
2025-12-18,51630700,28573500,50272400,33518000,21040500,20260300,95168400,176096000,2467500,37244700,23734500,69468400,19249400,49457691,6643200,2669000,4168300,16466100,19270400,65006100,54501900,3352700,8546200,29720100,8741200,108650100,78875800
2025-12-19,144632000,70836100,85544400,59943200,45234400,49977100,103305400,324925900,10097600,78990200,31927500,163221300,84881900,97603932,17543500,13465700,7866500,16986700,29240200,62312100,159095200,8706300,19091700,58445500,25749700,103599500,60369800
2025-12-22,36571800,16963000,32261300,26429900,14091400,15659400,86916100,129064400,2373300,39484800,13976100,51685400,18016100,32785176,8818700,2400400,4384000,7161600,8781400,30961900,28739600,2960800,5373100,24950700,4182000,69556700,43703100
2025-12-23,29642000,14683600,29230200,25478700,13961400,8486800,58223600,174873600,1903300,25896200,12153600,35958000,16712600,22459603,7254800,1552800,2419700,9511300,8644500,20767600,28232600,3052500,3500300,20272300,3791500,64840000,41120400
2025-12-24,17910600,5855900,11420500,10097400,6138200,5627500,41285400,65528500,1822200,12427900,5491700,37443800,9104400,11046544,2618700,833700,1480100,3462700,3833500,18592600,11424400,1166500,1266500,7956800,1279500,39445600,18468700
2025-12-26,21521800,8842200,15994700,10899000,6730900,7133800,58780700,139740300,1324100,22068300,7537800,28779400,10158000,13253527,4975500,792600,1457900,5046200,4689200,17878500,15028100,1455100,3191100,15792600,1836000,41613300,28959800
2025-12-29,23715200,10893400,19797900,19621800,12317700,8506500,66263000,120006100,1792500,24493700,12910100,38062300,17941800,25635529,7201900,2181000,2067900,5352400,7405700,26642900,21946900,2794000,4163200,20326900,2601600,62559500,32458300
2025-12-30,22139600,13944500,21910500,17380900,11052500,9187500,59238500,97687300,1680800,23422000,11277900,61935300,13952200,24549536,4713800,1255900,1904100,4540500,6088500,23056400,16633600,2252600,3904600,16409600,2185100,47160700,31226800
2025-12-31,27293600,15601600,24383700,16377700,10821500,7940400,49078000,120100500,1490000,23495200,13027300,51524700,13570500,18388891,4380300,1417300,2027300,5293400,6660400,17573800,15346100,2116200,3426900,17591600,3025800,74144800,40746500
2026-01-02,37838100,25571600,51456200,32009400,22043700,13726500,85535400,148240500,2373400,41155400,14693100,95396400,15749800,25911241,7182100,1539700,3156300,11334900,10842000,42604300,25398600,5643500,6133600,36446200,7553200,89377200,61859200
2026-01-05,45647200,25250300,49733300,30195600,19934000,12213700,67940800,183529700,2805600,39183300,17115900,96665400,16328800,47571600,9031400,2268700,3846200,9894300,15822000,34608600,31136000,5012100,6755000,31941100,10398700,71927200,46828400
2026-01-06,52352100,23037700,53764700,31212100,18989900,11074400,89093800,176862600,2742300,43331000,11110800,66395100,17017200,34552600,9576500,2722500,4005000,11351100,11217500,48732400,27135500,3187400,13219400,40033200,7237900,69273800,43137500
2026-01-07,48309800,25564200,42236500,35104400,24681800,12846300,59828800,153543200,2680100,36525700,18044300,166028400,20347400,36361700,8539800,3599200,5087100,9547000,13171600,32781100,20249300,3183100,8341300,29715500,6148400,75588300,44880300
2026-01-08,50419300,18162600,39509800,31896100,21789600,11921700,57041100,172457000,5207200,40068700,13105200,88242000,17192200,30813300,8762800,2799300,5192500,8140100,15509500,33897700,24385200,3107700,6857300,27505000,5500700,64019200,50435900
2026-01-09,39997000,18491000,34560000,26214200,17917700,11634900,67331500,131327500,2895400,55579500,15061500,186691400,19104100,22315300,6767600,2118400,5707700,7593200,9908600,33387500,22482500,3250100,6018300,24217300,9427600,80125500,49688700
2026-01-12,45263800,23519900,35867800,33923900,23893800,14797200,61649600,137968500,3246400,36290600,19898900,101989100,20985700,40310200,12223400,2460600,5521600,7289500,11636500,23152600,20949600,3541400,6502600,27287300,6612800,63976000,37388700
2026-01-13,45730800,28545800,38371800,33517600,24616700,18030400,53719200,160128900,2222100,45221100,15900500,168656400,17809900,35155000,9030200,2382200,4121200,5561900,9870400,23881300,18308000,7217300,4135000,56894900,7146500,78309700,44481400
2026-01-14,40019400,28184300,41410600,28525600,17839300,15527900,57259500,159586100,2894900,49737700,16039900,148225800,17801300,27336300,8329500,1897400,4421100,8373200,12569400,20277200,30094700,5712600,7988800,40466500,6545200,94676700,72598700
2026-01-15,39388600,23225800,43003600,28442400,16424900,13076100,49465800,206188600,2185900,36945100,16405300,132328900,18213000,31081600,5797800,2591900,5569400,10001700,8080600,25370200,22218800,4774300,6942600,55270200,11262800,77862000,53934900
2026-01-16,72142800,34246700,45888300,40341600,21868600,17012500,60220600,187967200,3862900,48130500,15116900,127314700,25743300,38596900,10313500,4033700,8529500,8958200,12019100,47901900,31291200,8534400,6944800,42545600,11399300,79289200,61058100
2026-01-20,80267500,26130000,47737900,35361000,27169900,15169600,63187300,223345300,3209900,109729700,19744400,150153000,23999700,50568300,9982800,2947500,8222000,13555200,13063700,49744900,32293900,6962000,9516600,44327700,9387300,111623300,81988900
