종목명,평균 거래량 (3개월),시가총액,매출,주가수익비율,베타
길리어드 사이언스,6.41M,164.7B,29.44B,19.59,0.40
넷플릭스,45.48M,383.27B,46.89B,29.48,1.67
다이아몬드백 에너지,3.25M,60.11B,14.30B,37.23,0.49
데이터독,5.45M,52.21B,3.43B,476.33,1.29
덱스컴,4.53M,23.17B,4.82B,25.72,1.56
도어대시,5.03M,75.2B,13.72B,78.90,1.90
램리서치,9.95M,323.36B,21.68B,48.75,1.79
로스 스토어스,2.47M,72.81B,22.75B,34.09,0.93
로퍼 테크놀로지,1.47M,35.85B,8.12B,22.22,0.89
리제네론 파마슈티컬스,688.27K,72.15B,14.92B,17.25,0.40
린드,2.56M,229.18B,33.99B,33.87,0.79
마벨 테크놀로지,22.75M,143.11B,8.19B,53.39,1.99
마이크로소프트,35.54M,3.07T,318.27B,24.59,1.11
마이크로칩 테크,9.32M,51.57B,4.37B,-331.66,1.44
마이크론 테크놀로지,41.2M,650.08B,58.12B,27.23,1.61
메르카도리브레,522.45K,91.94B,28.89B,46.34,1.49
메리어트인터내셔널,1.62M,91.99B,6.98B,36.62,1.10
메타,15.37M,1.55T,214.96B,21.85,1.31
모놀리틱 파워,592.47K,77.3B,2.96B,110.98,1.48
몬델리즈 인터내셔널,9.63M,78.79B,39.30B,30.27,0.39
몬스터 베버리지,5.56M,73.54B,8.29B,38.56,0.44
버텍스 파마슈티컬,1.36M,109.34B,12.00B,27.91,0.32
베리스크 어낼리틱스,2.25M,23.41B,3.10B,27.28,0.82
부킹홀딩스,10.55M,128.3B,27.69B,21.82,1.20
브로드컴,24.68M,1.97T,68.28B,81.02,1.25
샌디스크,18.26M,185.98B,13.18B,36.91,2.41
쇼피파이,10.91M,166.34B,11.56B,134.99,2.82
스타벅스,7.78M,119.63B,38.47B,80.22,0.94
시놉시스,2.05M,95.3B,8.01B,78.75,1.16
시스코 시스템즈,22.73M,365.88B,59.05B,33.28,0.87
